id,title,country,author,image_url_sm,image_url_lg,feed_url,genres
360084272,The Joe Rogan Experience,USA,Joe Rogan,http://is3.mzstatic.com/image/thumb/Music62/v4/40/29/cd/4029cdc1-3773-b4db-021e-af0720c22139/source/60x60bb.jpg,http://is3.mzstatic.com/image/thumb/Music62/v4/40/29/cd/4029cdc1-3773-b4db-021e-af0720c22139/source/600x600bb.jpg,http://joeroganexp.joerogan.libsynpro.com/rss,Comedy;Podcasts;Technology;Podcasting;Society & Culture
355187485,The Nerdist,USA,Chris Hardwick,http://is3.mzstatic.com/image/thumb/Music71/v4/08/68/01/0868010d-eba5-10ca-250e-d32354de5180/source/60x60bb.jpg,http://is3.mzstatic.com/image/thumb/Music71/v4/08/68/01/0868010d-eba5-10ca-250e-d32354de5180/source/600x600bb.jpg,http://nerdist.libsyn.com/rss,Comedy;Podcasts
121493804,Wait Wait... Don't Tell Me!,USA,NPR,http://is1.mzstatic.com/image/thumb/Music122/v4/74/90/15/749015f0-7cc0-32b1-1c42-358dc7745693/source/60x60bb.jpg,http://is1.mzstatic.com/image/thumb/Music122/v4/74/90/15/749015f0-7cc0-32b1-1c42-358dc7745693/source/600x600bb.jpg,https://www.npr.org/rss/podcast.php?id=344098539,Comedy;Podcasts;Games & Hobbies
329875043,WTF with Marc Maron Podcast,USA,Marc Maron,http://is4.mzstatic.com/image/thumb/Music71/v4/2b/fd/92/2bfd9226-b330-491a-86cc-02624d253901/source/60x60bb.jpg,http://is4.mzstatic.com/image/thumb/Music71/v4/2b/fd/92/2bfd9226-b330-491a-86cc-02624d253901/source/600x600bb.jpg,http://wtfpod.libsyn.com/rss,Comedy;Podcasts;Arts;TV & Film;Performing Arts
306390087,The Adam Carolla Show,USA,PodcastOne / Carolla Digital,http://is3.mzstatic.com/image/thumb/Music62/v4/3a/69/d8/3a69d8e3-9e3d-173f-6171-bde2568d83a4/source/60x60bb.jpg,http://is3.mzstatic.com/image/thumb/Music62/v4/3a/69/d8/3a69d8e3-9e3d-173f-6171-bde2568d83a4/source/600x600bb.jpg,http://feeds.feedburner.com/TheAdamCarollaPodcast,Comedy;Podcasts
160875147,Comedy Central Stand-Up,USA,Comedy Central,http://is4.mzstatic.com/image/thumb/Music6/v4/ce/92/8c/ce928c00-3540-66b1-2563-61c285de069f/source/60x60bb.jpg,http://is4.mzstatic.com/image/thumb/Music6/v4/ce/92/8c/ce928c00-3540-66b1-2563-61c285de069f/source/600x600bb.jpg,http://feeds.feedburner.com/comedycentral/standup,Comedy;Podcasts;Arts;TV & Film;Performing Arts
316045799,Comedy Bang Bang: The Podcast,USA,Earwolf and Scott Aukerman,http://is4.mzstatic.com/image/thumb/Music71/v4/9d/d5/26/9dd526eb-a2d7-e706-db63-1b8902c7f56b/source/60x60bb.jpg,http://is4.mzstatic.com/image/thumb/Music71/v4/9d/d5/26/9dd526eb-a2d7-e706-db63-1b8902c7f56b/source/600x600bb.jpg,http://rss.earwolf.com/comedy-bang-bang,Comedy;Podcasts
1074507850,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,USA,"Karen Kilgariff, Georgia Hardstark, Feral Audio",http://is4.mzstatic.com/image/thumb/Music62/v4/9f/d0/04/9fd00476-5dcf-5215-5a36-2e86e974ee4f/source/60x60bb.jpg,http://is4.mzstatic.com/image/thumb/Music62/v4/9f/d0/04/9fd00476-5dcf-5215-5a36-2e86e974ee4f/source/600x600bb.jpg,http://rss.art19.com/my-favorite-murder-with-karen-kilgariff-and-georgia-hardstark-fb,Comedy;Podcasts;News & Politics
205372733,Best of YouTube (video),USA,Plankton Productions,http://is4.mzstatic.com/image/thumb/Music71/v4/3c/e0/ec/3ce0ecb3-758b-0082-9bf5-6b48f7d66c9d/source/60x60bb.jpg,http://is4.mzstatic.com/image/thumb/Music71/v4/3c/e0/ec/3ce0ecb3-758b-0082-9bf5-6b48f7d66c9d/source/600x600bb.jpg,http://feeds.feedburner.com/boyt,Comedy;Podcasts
480486345,Monday Morning Podcast,USA,Bill Burr,http://is5.mzstatic.com/image/thumb/Music71/v4/ec/3f/92/ec3f924d-e918-086c-777e-cc64e1237984/source/60x60bb.jpg,http://is5.mzstatic.com/image/thumb/Music71/v4/ec/3f/92/ec3f924d-e918-086c-777e-cc64e1237984/source/600x600bb.jpg,http://billburr.libsyn.com/rss,Comedy;Podcasts
536258179,Welcome to Night Vale,USA,Night Vale Presents,http://is3.mzstatic.com/image/thumb/Music71/v4/ee/8b/2f/ee8b2f3e-5546-e2c1-435f-73a933272b3d/source/60x60bb.jpg,http://is3.mzstatic.com/image/thumb/Music71/v4/ee/8b/2f/ee8b2f3e-5546-e2c1-435f-73a933272b3d/source/600x600bb.jpg,http://nightvale.libsyn.com/rss,Comedy;Podcasts;Arts;Literature;Performing Arts
215352157,A Prairie Home Companion: News from Lake Wobegon,USA,American Public Media,http://is1.mzstatic.com/image/thumb/Music122/v4/1a/fd/80/1afd802d-08d6-2878-ffb3-d9ff04df0223/source/60x60bb.jpg,http://is1.mzstatic.com/image/thumb/Music122/v4/1a/fd/80/1afd802d-08d6-2878-ffb3-d9ff04df0223/source/600x600bb.jpg,https://feeds.publicradio.org/public_feeds/news-from-lake-wobegon/itunes/rss,Comedy;Podcasts
